0,,
Irel (mA),Angle (˚),
126.9,180,
1.761,176,
78.26,172,
4.29,168,
48.77,163,
13.9,157,
42.12,153,
25.96,151,
47.41,148,
5.031,142,
31.59,139,
2.983,134,
25.55,126,
30,,
Irel (mA),Angle (˚),
56.02,178,
4.698,176,
16.55,172,
4.8,167,
20.99,162,
6.591,157,
23.57,152,
1.966,147,
12.44,143,
0.4257,140,
19.31,138,
1.711,135,
2.17,122,
60,,
Irel (mA),Angle (˚),
31.22,181,
6.649,177,
18.4,173,
6.157,168,
9.76,164,
2.82,160,
11.99,157,
4.094,152,
13.72,149,
3.972,143,
11.81,138,
0.8493,131,
5.472,122,
70,,
Irel (mA),Angle (˚),
35.26,178,
7.218,171,
18,168,
7.244,166,
17.62,163,
13.22,160,
37.53,158,
6.224,153,
34.62,149,
2.539,144,
6.56,141,
1.379,128,
9.538,122,
75,,
Irel (mA),Angle (˚),
17.95,176,
4.033,170,
14.05,162,
8.159,160,
17.41,155,
1.074,142,
12.38,149,
11.9,139,
1.111,136,
4.515,130,
1.143,127,
9.93,122,
80,,
Irel (mA),Angle (˚),
28.79,177,
2.25,170,
16.7,168,
9.877,165,
19.03,162,
2.972,160,
25.51,157,
4.196,150,
22.2,148,
0.9318,143,
11.22,139,
0.7068,136,
9.972,131,
85,,
Irel (mA),Angle (˚),
28.52,174,
1.912,169,
18.04,163,
5.193,160,
28.46,154,
6.744,151,
11.14,149,
5.854,148,
7.974,146,
3.511,142,
8.898,141,
0.664,135,
8.21,139,
3.96,140,
5.25,130,
90,,
Irel (mA),Angle (˚),
19.63,148,
1.264,146,
5.35,139,
0.489,126,
5.724,121,
0.4437,118,
7.072,116,
1.43,114,
1.873,151,
8.437,153,
4.384,156,
17.42,158,
